spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,stcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,service1
60,62,3614,50036,2164.308589,31,29,508558.8438,7044413.0,7,24,0.942254,0.922217,60.751720999999996,2526282261,255,0.000692,0.0005650000000000001,0.000127,60,807,0,0,6,0,2,1,1,3,4,4,0,Normal,0,0
28,30,4456,3080,137.146818,31,29,82711.5625,57322.55859,7,7,15.381037,14.314241,806.161565,4248998158,255,0.000616,0.0004969999999999999,0.00011899999999999999,159,103,0,0,3,0,6,1,1,4,3,12,0,Normal,0,0
22,24,1958,2308,1504.815386,31,29,500000.0,591760.3125,6,6,1.407857,1.2718260000000001,174.825948,3578274390,255,0.000784,0.000643,0.00014099999999999998,89,96,0,0,4,0,4,1,1,3,1,10,0,Normal,0,0
2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0,0,0.01,0.0,0.0,0,0,0.0,0.0,0.0,532,0,0,0,29,2,10,10,1,29,10,29,0,Normal,0,0
1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.624,0.0,0.0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,2,2,1,Normal,0,0
6,2,986,86,31.378315,62,252,29477.68555,1542.02002,2,1,44.6168,0.006,2341.728545,2067366335,255,0.14723699999999998,0.089278,0.057959000000000004,164,43,0,0,9,3,5,5,1,9,5,9,0,Normal,0,0
28,30,4480,3080,149.724582,31,29,90780.375,62579.62109,7,7,14.086889000000001,13.106966,749.900604,2976689581,255,0.000758,0.000592,0.000166,160,103,0,0,4,0,3,1,1,3,3,6,0,Normal,0,0
16,18,1540,1644,79.269377,31,29,27749.085939999997,29843.71875,4,4,27.728734000000003,24.456,1714.4184460000001,3936859309,255,0.000661,0.000541,0.00011999999999999999,96,91,0,0,13,0,1,1,1,3,2,6,0,Normal,0,0
10,6,718,268,22.105764999999998,254,252,7627.962401999999,2640.9021,2,1,72.541333,116.702797,3712.814003,2198434805,255,0.169765,0.095036,0.07472899999999999,72,45,0,0,4,1,1,1,1,4,1,4,0,Normal,0,0
8,12,424,8824,33.565169,31,29,5243.23291,114319.4297,1,4,80.821569,51.398455,5034.868052000001,3149736201,255,0.000798,0.000676,0.000122,53,735,0,0,3,0,2,1,1,5,2,3,0,Normal,0,1
10,8,1526,354,19.391672,254,252,12538.42676,2828.902832,2,1,97.40722199999999,117.18228899999998,5537.248563,2555794498,255,0.084135,0.05572100000000001,0.028414,153,44,0,0,3,1,1,1,1,3,1,3,0,Fuzzers,1,0
2,0,104,0,166666.6608,254,0,69333328.0,0.0,0,0,0.006,0.0,0.0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,1,1,1,2,1,2,0,Fuzzers,1,0
2,0,240,0,76923.07779,254,0,73846152.0,0.0,0,0,0.013000000000000001,0.0,0.0,0,0,0.0,0.0,0.0,120,0,0,0,1,2,1,1,1,1,1,1,0,Shellcode,1,0
10,6,610,268,75.273241,254,252,22040.00391,8992.643555,2,1,20.981444,36.781397999999996,1288.606614,2493595316,255,0.026876,0.015364,0.011512,61,45,0,0,1,1,1,1,1,1,1,1,0,Shellcode,1,0
2,0,440,0,111111.1072,254,0,195555552.0,0.0,0,0,0.009000000000000001,0.0,0.0,0,0,0.0,0.0,0.0,220,0,0,0,1,2,1,1,1,1,1,1,0,Analysis,1,0
66,14,78481,612,233.370165,254,252,1826597.125,13446.84766,30,1,4.991231,25.489846,514.881352,2381717425,255,0.052770000000000004,0.007146,0.045624,1189,44,1,0,1,1,1,1,1,1,1,1,0,Worms,1,1
10,8,790,1354,16.402206,62,252,5487.984863000001,9146.641602,2,2,115.05022199999999,138.285422,6265.335075,462233668,255,0.15254600000000001,0.068445,0.084101,79,169,1,274,5,1,2,2,2,5,3,5,0,Analysis,1,1
10,8,808,1102,21.971914,62,252,7527.319336,9977.833984,2,2,79.850444,99.55057,4253.693204,677012819,255,0.148175,0.076852,0.071323,81,138,1,233,3,1,4,3,3,3,5,4,0,Analysis,1,1
14,6,8682,268,49.484193,254,252,167975.3906,4667.140625,4,1,26.139386,62.432801,1625.204667,1575816531,255,0.130403,0.071783,0.058620000000000005,620,45,1,0,1,1,1,1,1,1,1,1,0,Worms,1,1
18,18,2272,1226,22.678792,254,252,11124.27148,6002.752441,6,7,90.781882,85.38946899999999,4655.530841,165345799,255,0.09346,0.067838,0.025622000000000002,126,68,0,0,1,1,1,1,1,1,2,1,0,Analysis,1,1
10,8,826,1088,18.747367,62,252,6563.78418,8398.820312,2,2,100.754889,120.32356999999999,5312.740057,425488115,255,0.162249,0.063444,0.09880499999999999,83,136,1,141,8,1,3,3,3,8,3,8,0,Analysis,1,1
2,2,152,82,12.841256,254,60,2602.494629,1403.977417,0,0,0.002,0.001,0.0,0,0,0.0,0.0,0.0,76,41,0,0,1,0,1,1,1,1,3,1,0,Analysis,1,0
4,0,400,0,0.27983,254,0,223.8638,0.0,0,0,3573.60125,0.0,5053.8275,0,0,0.0,0.0,0.0,100,0,0,0,2,2,2,2,2,2,20,2,0,Exploits,1,0
2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,21,4,0,Exploits,1,0
32,22,18847,1912,20.525237,62,252,56569.10156,5657.220215,13,8,83.296353,114.31076599999999,4912.250597,2088672146,255,0.198175,0.112902,0.085273,589,87,0,0,2,1,1,2,1,1,2,1,0,Exploits,1,1
2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,27,3,0,Exploits,1,0
2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,15,5,0,Analysis,1,0
4,2,536,440,30.629934999999996,254,60,19701.17383,10781.737309999999,0,0,54.413000000000004,0.002,76.941703,0,0,0.0,0.0,0.0,134,220,0,0,1,0,2,1,1,1,1,1,0,Analysis,1,0
2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.006999999999999999,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,16,4,0,Backdoor,1,0
2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009000000000000001,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,2,5,0,Backdoor,1,0
2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,24,4,0,Backdoor,1,0
8,8,364,524,70.862014,62,252,12055.99023,17347.02148,1,2,30.239858,29.228143,1565.02037,446514938,255,0.052572,0.006385,0.046187,46,66,0,0,1,1,1,1,1,1,1,1,0,Backdoor,1,0
2,0,1080,0,142857.1409,254,0,617142848.0,0.0,0,0,0.006999999999999999,0.0,0.0,0,0,0.0,0.0,0.0,540,0,0,0,1,2,1,1,1,3,1,1,0,Backdoor,1,0
816,5164,35088,6988551,99.793072,62,252,4679.375488000001,932964.0,0,2576,73.77199999999999,11.650314999999999,88.214492,459946522,255,0.137764,0.078501,0.059262999999999996,43,1353,0,0,1,3,1,1,1,1,1,1,0,DoS,1,0
2,0,126,0,125000.0003,254,0,63000000.0,0.0,0,0,0.008,0.0,0.0,0,0,0.0,0.0,0.0,63,0,0,0,1,2,1,1,1,1,1,1,0,DoS,1,0
2,0,126,0,250000.0006,254,0,126000000.0,0.0,0,0,0.004,0.0,0.0,0,0,0.0,0.0,0.0,63,0,0,0,1,2,1,1,1,3,2,1,0,DoS,1,0
2,2,122,318,3.9647040000000002,62,252,644.92511,1681.034424,0,0,0.008,0.008,0.0,0,0,0.0,0.0,0.0,61,159,0,0,1,3,1,1,1,1,1,1,0,DoS,1,0
2,2,110,234,17.698906,254,60,2595.8396,5522.058594,0,0,0.009000000000000001,0.005,0.0,0,0,0.0,0.0,0.0,55,117,0,0,1,0,1,1,1,1,1,1,0,DoS,1,0
10,8,842,1242,18.917959,62,252,6748.146973000001,9677.092773,2,2,99.832889,119.36757,5169.0999950000005,2436983279,255,0.146394,0.06303500000000001,0.083359,84,155,1,201,1,1,1,1,1,1,1,1,0,DoS,1,1
10,6,580,268,14.482035,254,252,4031.7985840000006,1730.120483,2,1,115.08511100000001,181.189203,6155.316100999999,2952076777,255,0.253382,0.129174,0.124208,58,45,1,0,1,1,2,1,1,4,2,1,0,DoS,1,1
10,8,780,974,20.051828,62,252,6624.180176,8049.039551000001,2,2,94.053889,101.387141,4961.540236,2774194242,255,0.28013899999999997,0.13809100000000002,0.142048,78,122,1,68,1,1,1,1,1,1,1,1,0,DoS,1,1
10,8,1052,354,1.1384239999999999,254,252,507.335114,166.075897,2,1,1659.2145560000001,2122.84625,109010.3994,319005151,255,0.196757,0.072155,0.124602,105,44,1,0,1,1,1,1,1,1,2,1,0,DoS,1,1
34,172,1824,217197,89.382186,62,252,6177.398926,753199.6875,2,83,69.500667,12.631912,3601.926209,589382110,255,0.119798,0.052809,0.06698899999999999,54,1263,1,104877,2,1,1,2,1,1,2,1,0,DoS,1,1
2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0,0,0.0,0.0,0.0,57,0,0,0,21,2,21,21,11,21,21,21,0,Generic,1,0
2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,2,4,0,Generic,1,0
12,14,1920,9520,23.114931,62,252,13018.3291,65387.515629999994,3,5,98.322906,79.56923,6168.625322999999,1422475500,255,0.151837,0.046575,0.105262,160,680,1,255,1,1,1,1,1,1,2,1,0,Generic,1,1
2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009000000000000001,0.0,0.0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,5,5,0,Reconnaissance,1,0
70,0,19040,0,1.453082,254,0,3161.905518,0.0,0,0,693.785,0.0,827.209375,0,0,0.0,0.0,0.0,272,0,0,0,2,6,2,2,2,2,6,2,0,Reconnaissance,1,0
2,0,168,0,125000.0003,254,0,84000000.0,0.0,0,0,0.008,0.0,0.0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,2,1,0,Reconnaissance,1,0
20,0,1280,0,0.5047470000000001,254,0,258.43023700000003,0.0,0,0,1981.19225,0.0,2308.8885,0,0,0.0,0.0,0.0,64,0,0,0,2,2,2,2,2,2,2,2,0,Reconnaissance,1,0
10,8,940,354,13.255204999999998,254,252,5277.130859000001,1933.700562,2,1,142.501667,168.921859,7468.626492,856287670,255,0.251285,0.099301,0.15198399999999998,94,44,1,0,1,1,1,1,1,1,2,2,0,Reconnaissance,1,1
