reviewerID;name;location;yelpJoinDate;friendCount;reviewCount;firstCount;usefulCount;coolCount;funnyCount;complimentCount;tipCount;fanCount
vEY4lllUjK38-ADAbQGaMg;Dana C.;Big Rapids, MI;August 2012;0;7;1;2;0;0;0;0;0
vLXcAJ5Zr3_1aTBMXfNdwg;Lauren C.;Hatfield, MA;July 2012;0;8;1;2;0;0;0;0;0
VSnGXIrXTIDXakzl0UP4pw;Matt I Don't Review With Only One Experience M.;Decatur, GA;October 2010;20;118;9;125;51;89;22;23;4
zIohC_fn3iHOwz_0qZU1gA;Malou R.;Las Vegas, NV;March 2009;2;2;1;0;0;0;0;0;0
zlXlvI_IKONWpzOXugfwbA;Nilda R.;Chicago, IL;April 2007;255;296;19;1519;1341;1484;900;0;42
uxT06Moj9T0ILJj0FIUY2g;Haley T.;Somerville, MA;June 2008;107;198;5;188;86;92;67;14;16
tx407EtvKoXXEZqYQFQVJA;Jeff troymccluresf M.;San Francisco, CA;January 2006;279;309;18;901;804;724;555;0;41
WX86cEBn-bV7DutrVIQtxA;Matthew B.;Omaha, NE;November 2007;2;18;2;16;7;9;2;0;0
x4y2LiiS5hvolQqOOrpHVg;Cheryl Lover Of Culinary Adventure C.;Hollywood, FL;January 2008;13;105;63;154;80;36;24;0;2
TUZ_ZI37cBEOPzJWMiPltQ;Brian D.;Portage, MI;July 2007;0;7;4;1;0;0;0;0;0
Y1T7sd4TKOe4utqV5hFdMQ;Shanti L'il Luddite N.;Chicago, IL;October 2008;17;249;24;400;318;128;34;0;6
umSFWKHrYJCnmSzzazAbGQ;Mark C.;Grand Rapids, MI;September 2007;1;23;6;26;10;5;5;0;0
xTAzqgK8F7TohbE9qEyZ0Q;Mary L.;Kenosha, WI;August 2011;6;3;1;3;1;0;0;2;0
ttaecsp9a2Kkrk8fqknNiQ;Henrik C.;Atlanta, GA;December 2008;28;180;14;187;49;26;41;78;3
TjPFo0IyBLf6j8B-1abqqw;Grace Asian Persuasion Y.;Boston, MA;November 2009;24;39;2;122;28;62;10;0;1
tdbYhJnqIgUSR-K9nEAVxA;Sarah the master of food-coma L.;Minneapolis, MN;November 2007;20;152;58;323;161;48;67;0;8
yF22nN7Sh9WIcbyR-MRd2w;Emerson Tired and Hungry M.;Oakland, CA;April 2011;10;160;2;83;46;48;11;41;0
Uw-PXoWwqxwB6HKwpjVpVA;AS D.;Urbana, IL;March 2009;1;21;4;45;14;6;1;0;0
uqdUPWJVsdWzDHnILxey_g;Brandon H.;Chicago, IL;May 2006;229;236;30;735;371;228;518;0;11
yzIYYAuWnG7yk1uKBcGb_Q;Jessica C.;Frankfort, KY;July 2009;1;29;6;11;2;1;0;0;2
z1UrbSoWK5-h4nOfMpoliw;Bill Wild Bill E.;Cincinnati, OH;March 2009;22;237;9;133;48;22;55;12;1
UJ-M46bBB1x79sLkUzmKIw;Shannan D.;Grand Rapids Charter Township, MI;September 2011;7;6;2;3;0;1;0;0;0
Z4FB_Lo8HzKGYxeDPFhUwA;Mauricio P.;Champaign, IL;December 2010;11;24;6;33;5;12;1;12;0
TvRqHTHzTRLry_4u2nafAA;Darren S.;San Diego, CA;June 2008;295;906;97;2646;1937;852;607;1;29
tXjgev2UOr_8HTWcQFZ3OQ;Anne A-woww L.;Dallas, TX;April 2010;80;136;8;125;39;32;18;10;0
ZSevQHDF3hSFtLs828RdFw;Jeffrey S.;Brenham, TX;June 2010;5;223;32;93;21;29;7;6;1
XKtW5jAYGlUm0zB-sJTMbw;John The Redhead S.;Lansing, MI;August 2009;33;4;1;7;2;2;1;1;0
UVexB8QC6p-asUne2Fe5Fw;L T LTD D.;Chicago, IL;December 2010;15;33;6;14;4;5;1;11;0
yKM5MV19ObMhZiRaPACUSA;Nav S.;Los Angeles, CA;October 2009;5;13;0;9;2;3;1;0;0
wbvhrEMtrfYG5VEBzqOQfQ;Kim M.;Chicago, IL;January 2012;0;3;1;1;0;1;0;0;0
TYfZrIzz08VGmvvvGZhqyw;Lindsay B.;South Elgin, IL;January 2011;9;69;5;28;4;2;5;0;0
Xlc2khTEd0gjKcQmWOakhw;Steve M.;Stevenson Ranch, CA;December 2010;3;33;2;7;3;0;2;14;0
zHvS1F_6wOPSLUk6vpDEGA;Taylor Honey Bee M.;Long Grove, IL;June 2010;167;502;35;781;495;379;295;117;16
ZdkzBEMzY1DL4-snIRZThQ;Nicole B.;Torrance, CA;May 2010;162;261;9;295;116;106;89;35;15
zfWG-mS2c9R1ES5adp_eiQ;Jess S.;Lexington-Fayette, KY;August 2009;18;135;39;33;9;17;2;34;1
xxxEqdPt2bapEapu1yGGTw;Mitsuaki M.;Bloomfield Hills, MI;September 2010;19;48;5;36;13;9;17;174;1
v6nsU587W-PTTla8KcAcXg;Stella Stella H.;Hatboro, PA;December 2008;0;129;21;96;24;16;0;0;2
vyBg4PXQKSak0Y4tfuLtWw;betsy b.;Chicago, IL;August 2007;16;183;3;103;42;44;31;0;3
YkFlDJnwwOqyWHuCiN0qFA;Rob B.;Crystal Lake, IL;February 2009;31;130;18;178;48;62;32;0;9
TUOGgdQAdGSZDAWXciWOgw;Kristin K.;San Diego, CA;August 2010;55;17;1;36;6;9;6;0;2
z_9oeZ5aN8g8AzPNENht8w;Anne Yummy In My Tummy W.;Manhattan Beach, CA;June 2007;88;832;28;705;231;178;86;0;13
VveQW3yKqgi8gAjwKzUVBg;Andrew W.;New York, NY;December 2006;36;329;33;543;310;217;84;0;20
V4MJOGnBa7xDo8CdDeeoLw;Monique C.;Skokie, IL;January 2011;103;66;2;56;25;19;14;2;5
yoUni9Ippw1dnn3fHmnTxA;Jessica W.;Cupertino, CA;April 2008;4;52;6;71;36;14;3;34;1
uIIRFmNnTcw_DNXC9HL5Gw;Kay M.;Kenosha, WI;May 2010;0;14;0;8;1;0;0;1;1
tivh8lr6pzBDNfrJLYWh_g;Kristen F.;Chicago, IL;April 2006;31;165;33;201;56;17;24;0;3
xfSVMwbOLZz0615ebgzg6w;nicole d.;Chicago, IL;September 2007;8;43;0;26;5;2;1;0;0
tJa2obvu01QfL5Wr4NwfPA;Katie Sweet Like Cake W.;Detroit, MI;March 2009;76;124;35;515;338;344;279;0;8
xqzpyRWN2pvhEbxg1rI0Ng;Karen L.;IL;January 2007;0;2;0;1;0;1;0;0;0
vgZH1EIDzr__8TTdY5-UzA;Kristin F.;Sunset Valley, TX;November 2009;3;4;1;6;1;0;0;0;0
USZx-55MA2-lG2hBu6PWJA;Vineet S.;New York, NY;August 2009;824;559;29;2031;1669;779;1014;453;28
xkTOUA0xvCgmYVcNmlubew;A K.;Brooklyn, NY;April 2007;31;213;3;187;57;67;21;0;1
V2-buDs3n0IbeRhnzD9w-A;I-Chant C.;Aberystwyth, Ceredigion;October 2007;10;80;8;133;56;40;15;0;1
zwYBa3Y8DhiZcYZIlKIZ3g;Solbiato S.;San Francisco, CA;March 2007;9;128;8;74;46;43;10;0;4
xu1KjFlBNaWBKcnuqltY7w;Jeanne B.;Concord, CA;October 2010;3;24;5;23;7;4;0;0;1
ZMCUEgTmOZ6_yGsPw8HwVQ;Nadia C.;Los Angeles, CA;February 2012;26;86;0;45;21;10;11;5;0
vHL-gl5zgZbMcVJzbshDzg;Lindsay L.;New York, NY;March 2012;0;1;0;2;0;4;0;0;0
whKGRmyDDp7TEtRAM3O3Ow;Blair T.;San Francisco, CA;May 2006;4;16;0;25;9;18;1;0;0
zAddDr8fzyTV-YB2wSoWTA;AnaPhylaxis Anaphylaxis B.;Appleton, WI;July 2012;1;28;2;11;1;0;1;0;1
WnK-YoiG_naksEQ8v00kiQ;Jose H.;Long Beach, CA;August 2010;47;7;1;9;0;4;0;1;0
Ws7MrWPecTyAJIzZZvyluw;Mina S.;Mississauga, ON;April 2011;2;12;2;11;10;1;8;0;0
Xd47kawRddyUiWxlEFLHWw;Les O.;Arlington Heights, IL;July 2011;45;33;0;8;5;0;2;2;0
U0lJX61bXS-e-qgKj8Nehg;Chris Mas Loco P.;Brooklyn, NY;April 2009;68;109;4;74;19;16;33;40;2
XFkM7gH46acw3OWUxduTAA;Jamie A.;San Francisco, CA;February 2011;32;21;0;9;6;5;3;46;0
uYJCfSyK-8jp2PBZm9fp8g;Mary MP P.;Minneapolis, MN;December 2010;0;48;0;14;6;5;2;0;0
ZAaKzaauffR_GbOeQBMqIQ;Nancy A.;Odenton, MD;March 2011;8;25;5;31;6;17;2;0;2
v7Ec9373pSa6W_IvA8fi7Q;Brittany F.;Sparta, TN;September 2011;2;45;0;23;2;3;1;0;0
x_axtCj_KMcWdf1WQ6BbdQ;Michelle Mich C.;Ann Arbor, MI;October 2011;34;132;9;91;17;15;11;21;2
ZyPy5lpRwcar77OcXqSsaA;Justin The Machine F.;Rancho Palos Verdes, CA;April 2011;44;70;3;45;15;21;13;32;0
vhf2VBScWoXLLimACQS-Bg;Deborah Debris H.;Goodyear, AZ;July 2011;0;11;0;3;0;0;0;0;0
Z1XTox_tmK7y1GM3RQHkVg;Charles K.;Frederick, MD;July 2012;9;33;1;2;1;0;0;0;0
wB8ATiDKotKsP-jEPJgwtw;Chris C.;Brookline, MA;June 2009;44;629;58;645;348;184;78;1;6
vmSu6JE46KnzBenqX0nuFQ;D H.;Sacramento, CA;February 2012;0;2;0;0;0;0;0;0;0
-uUKRIY5_xMPLM6_T_vjyQ;Cher B.;San Francisco, CA;April 2008;16;48;0;42;24;32;7;0;3
xFV5-3815p_pXt-cHeEFAg;Shravan K.;New Haven, CT;November 2011;0;6;0;0;0;0;0;0;0
XKvbfNylF6Yq8hpwqaZrhA;Mihir you don't win friends with salad S.;Chicago, IL;March 2006;373;965;78;1230;536;509;213;58;24
v9ZgIl22Q813cCfv1e9RLw;Robert M.;Atlanta, GA;October 2007;228;481;85;2026;1445;1229;774;0;34
Zat8LJzmHDRE1GcqaoqqCw;Sam G.;Manhattan, NY;November 2007;13;164;0;98;50;8;23;0;2
UTY_VkO8zL5hQBTSkPSsZA;Kt D.;Bolingbrook, IL;August 2010;13;2;0;1;1;1;4;36;0
TqNsoWrbOLqxZF2lA24mpA;SANDY JinKyJuiCe P.;Sacramento, CA;November 2008;104;406;51;247;97;116;71;139;9
wnFTKVdX7Gte1SevZ1NTGA;Andy S.;San Diego, CA;December 2009;5;7;0;3;0;1;0;0;1
U8lcfjRZhdGGOEXaK4-7BA;Kathleen Y.;Astoria, NY;March 2007;38;387;40;305;181;87;28;1;4
VcvOqjBGxJtt5FpjCBCMuQ;Agnes F.;Chicago, IL;August 2007;26;351;5;173;77;36;21;0;6
uFLzxl_w96nqYUNNVeaiHQ;Rebecca S.;Homewood, IL;June 2007;16;19;0;18;6;8;1;4;0
zCtcsNSLzQ00qDsB_nUxcA;Jonathan F.;Webb City, MO;May 2009;1;76;43;44;4;7;0;0;2
VEp_VFuXdwv3zWJw1RLacw;Arnaud S.;Washington, DC;June 2010;49;148;4;70;28;11;12;1;2
UHQTSojUNfkEMzmPaxMe-Q;Myra just a happy person J.;San Jose, CA;October 2009;13;47;3;28;14;9;8;0;3
vXmX--CQkgStqInhvGnE4w;Jennifer Jenn L.;Pleasanton, CA;May 2010;98;60;4;57;41;37;23;27;1
uoA2_UVVvU1rsC2OSTICVw;Tim Fish Fry A.;Minneapolis, MN;February 2010;18;53;14;104;47;46;5;0;3
wFl1SutmsBsUrTZdNexSOg;Husejin Core Breach D.;Springfield, IL;May 2009;113;143;10;413;228;133;102;111;6
viUx2WxW_hYMw0S7OKvxRg;David K.;Libertyville, IL;June 2009;2;18;1;26;5;8;0;0;0
Wi_o7nYajyg9QIN6SoQNiw;Mimi C.;Vienna, VA;October 2008;46;116;11;152;135;26;71;0;3
u4df9jjhSsjnrz1wEqFjJg;Channa P.;Knoxville, TN;February 2009;34;234;14;146;43;42;14;59;2
wucy6stQAKlzKR5hKKDLig;Alan W.;Irvine, CA;May 2010;152;228;4;187;106;60;53;12;9
WJnEifJRkI6bCH2iw8brFg;Nenette Nips Y.;San Francisco, CA;February 2006;83;510;20;667;425;217;92;0;23
WslBIvrC1ezr4VAvPMEyMA;Damian C.;Chicago, IL;December 2006;188;410;33;1343;1085;1141;853;100;19
wd_VNRXXGyoEUs-bMW5pGA;Shauna time is now... R.;Los Angeles, CA;October 2008;38;122;4;104;29;22;17;13;2
XDpH_eZVnKoKyVE1bxotSA;Tina F.;Denver, CO;May 2006;34;155;78;325;90;51;50;1;4
-ySXNLiIspI4UC8Qn7xT3w;Marc Citizen Yelper B.;Chicago, IL;August 2008;89;199;34;300;95;108;57;17;4
VeuwCtfmB4VyXWuUYbZp8w;Mabelle A.;San Francisco, CA;August 2006;104;604;24;325;140;89;61;0;8
WsMi52yHApF5-yE0U8v4Hg;Tamara Tam B.;San Marcos, CA;January 2009;11;20;1;12;4;0;4;0;0
TFNEVJep9T41b2O-DPpmpQ;Ezra the proof is in the pudding H.;New York, NY;September 2007;131;138;8;175;123;89;51;57;6
TFv5yONJ36qMEXC9_UTSNg;L J.;Brooklyn, NY;July 2008;9;199;8;188;43;70;16;6;3
yGSf3g2-rMAUgaO-tmd4xA;Pane Belgarion M.;Laie, HI;November 2010;33;12;0;2;1;1;1;9;1
yMS85uVMMDOETHGXKzMBSQ;Cynthia pass me the c*ck sauce R.;Chatsworth, CA;July 2007;23;119;13;220;187;187;42;0;1
ZGmjA3NrrmcHVX3SoAWaZw;Jonathan Diesel D.;Boston, MA;June 2011;9;104;3;27;11;4;1;37;1
XSLzmNxObUzuaIKxjBJ18Q;Kenny sarcastic ass C.;New York, NY;March 2008;54;102;11;285;157;130;105;0;5
ZS_SiPpiLocKfYNjRZTeww;Taylor Indie Bacon Foie Gras O.;Seattle, WA;May 2006;107;420;50;499;263;220;110;66;13
zUfc1dCKMEptMaXjTcK5ug;Julie I like shiny things P.;Chicago, IL;March 2007;51;130;6;147;74;35;38;1;9
ZIOJzxtpqGbkYg-wSVq0DQ;Elle Mrs. Elle K.;Newark, DE;March 2010;0;5;0;1;0;0;0;0;0
Z1Ce1N6F7vw9pKnsv8MtRA;Mike PassTheChips F.;Chandler, AZ;June 2008;5;464;27;239;89;86;17;0;3
uGToIeojnhcTz2UZawmCTw;Ashleigh Ashleigh B.;IL;January 2007;0;26;0;15;3;2;2;0;0
U4l39LSZkYGemiB6g9qIVw;Brian C.;Seattle, WA;March 2010;1;13;2;8;4;1;0;0;0
TWqf1_xAIaYzh-OtrbQ6rw;Karen K C.;New York, NY;September 2008;128;351;37;334;133;82;80;0;9
xErjn90o21L1FSG5H9hmHQ;Marisa B.;Kansas City, MO;August 2010;44;82;3;141;88;31;84;58;5
V4ckagNX9MzhN4xBVKW2sg;John J.R. R.;Cranston, RI;June 2008;60;47;5;48;25;17;22;13;1
YYzUXqF1nGKNGwh0RTOJ2g;Ray F.;Heber, CA;May 2011;0;2;0;1;1;0;0;0;0
W0LDl6oTtcG83O61FmB2Vg;Lisa S.;Minneapolis, MN;May 2012;0;5;0;0;0;0;0;0;0
zg40qLCTpBtoEBNMSdr5vw;J. K.;Redwood City, CA;July 2007;6;135;17;122;36;26;4;0;1
toZPiHYLymuBtHFPLIeQgQ;B B.;New York, NY;May 2008;2;23;1;15;5;5;1;5;1
y8bNYW5jJJyW8DI3IIXroQ;Jonathan C.;Chino, CA;August 2008;2;14;1;10;2;10;1;0;0
zA7hEWc3YDcwokYj6QyFjw;Deborah F.;Chicago, IL;January 2008;25;51;3;78;53;55;24;3;2
XZN4GcszjOuywU5QFVhAdQ;William williamt K.;Naperville, IL;November 2007;7;73;3;72;37;46;25;0;2
zyNGr5Tlg1rK1frevXCx2g;melissa g.;Chicago, IL;May 2006;49;184;4;127;121;26;33;0;8
Ybr4mtjJyjAFt9wbAHwEVw;wayne what happen to my elite status? s.;San Francisco, CA;July 2007;13;227;0;89;74;98;22;0;1
-VsjDBOjtOQnM9tbjNDErQ;Heather S.;Chicago, IL;August 2006;1;179;46;129;44;8;15;0;2
Z2pnaijTKPcLyj1j_oRSmg;Jamie K.;Rochester, MI;January 2012;0;1;0;0;0;0;1;0;0
w1lHu6I_xLDKHMXc4Cv5ig;Taylor W.;San Francisco, CA;May 2010;205;89;2;242;158;175;20;2;2
YrW0ZwG5y_mzX2m7vDqMug;Rich M.;Burlington, MA;May 2012;0;1;0;0;0;0;0;0;0
wH9uvsG3a0xtWFia4LXfjw;J L.;Madison, WI;May 2011;3;27;7;10;1;7;1;3;0
XROL3Wp3vClB7mU2yvPAaQ;Dick L.;Chicago, IL;October 2010;0;23;2;9;5;2;0;0;0
tFU0oWJHr1m6dPE6z_C3Vw;Lisa I ACCIDENTLY ALL THE ARTS S.;Columbus, OH;August 2006;286;391;145;829;535;445;359;58;34
X4d7h-98_ZD750Ny2kkG1w;Tim K.;Yuba City, CA;November 2010;1;58;2;23;5;11;0;0;1
zlqZz3BtcecJjMsR0bKTeA;Whitney C.;Seattle, WA;July 2007;9;62;3;117;70;55;18;0;1
y8tkRSUOGo0V7HeiAVOwOA;Sylvia M.;Torrance, CA;March 2009;36;63;0;23;5;8;5;32;1
TAUwQExTxDnpPwqhouhJcA;Shar B.;Scottsdale, AZ;April 2011;27;118;3;95;20;18;9;0;2
YK4EivRNkXZH8vXbI8lKDA;Chris C.;New York, NY;June 2008;185;368;19;687;497;406;225;12;16
tBBogzrotUdkTwmiOXWtNw;Megan L.;Chicago, IL;February 2008;30;229;14;164;96;67;35;0;4
wlo8cufzWoS1WQrng0JCTg;Derek Derek S.;Houston, TX;February 2009;32;38;0;32;22;12;12;0;1
VHaUQSMvMOZiBXKlSewGgg;Tammy D.;Downers Grove, IL;September 2009;9;46;5;42;6;11;5;1;2
xRJDiwMl_mlTgykx6gEARw;Nick K.;Chicago, IL;January 2007;33;101;11;86;54;10;23;0;3
xxsKHU4JPdWAZdAVL5v-ew;T D.;Arlington Heights, IL;August 2011;0;59;7;24;3;4;1;5;0
zFQnGH2aXZkP3gK7OIgcig;Rowena D.;Oakland, CA;April 2009;85;274;8;508;377;316;51;34;7
YLuB9kMN-wY7T7s9PMtkwQ;Susan Feed Me, I'm a Tamagotchi Z.;Durham, NC;January 2010;90;216;26;990;622;535;764;44;26
ZYDDzSwWUqokTsmdT8AsnA;Caroline The Yellow Dart T.;Austin, TX;June 2006;64;101;2;243;157;107;63;1;7
ZGM-hsejhwGQKnROvcBBCw;Billy I've been called lots of things E.;Round Rock, TX;July 2007;15;133;12;152;96;45;23;1;4
vec4p1BHgEQVpxoE-70G8Q;Natasha A.;Cambridge, MA;May 2006;64;308;31;559;247;138;66;0;10
UpMTSX253d01OPY-3-sjEw;dallas h.;Chicago, IL;February 2007;313;259;21;1274;1024;988;1622;54;23
wF4_c5luZZM0-z-d-EtCCQ;Jay JayKoolz K.;Houston, TX;October 2009;78;68;6;30;16;14;36;100;1
yABu0siSGhme2JpUA1x0PQ;Josephine P.;Boston, MA;September 2009;23;231;3;172;71;91;28;0;7
u5sk5UrVDLxi-u4o8TeEDw;joshua c.;Chicago, IL;October 2006;6;26;9;45;10;6;6;0;0
tDWr9QfVH1-phUEjCGYglA;Kalifornia S.;San Francisco, CA;December 2008;21;56;0;32;16;14;7;32;0
wIifB9Jb3ZsJwzw6f6q6FQ;Ben B.;Springfield, MO;April 2011;8;3;0;3;0;0;0;10;0
