date;reviewID;reviewerID;reviewContent;rating;usefulCount;coolCount;funnyCount;fake;hotelID
2/13/2011;;yoB_PYQHjnPjh78ATA0Jgw;"Stayed here over the Jan 15th weekend.  The location is perfect! Close to Michigan Avenue, train and of course Giordano's. Inviting entrance to the hotel with a canopy with heat lamps when you walk up. The elevator is small and a little rickety but it does the job. I would bring your own towels as the hotel ones are a bit scratchy. Didn't encounter the hotel staff much, just at check in/out -they were polite.  I would stay again when in town.";4;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
8/9/2011;9CPWfP7Ibj-2TthBN;b8B2b2q_Lcactxp8xr-jvg;"Breakfast no longer free, but the wifi is. The staff were friendly and responsive, and the price-for-location hard to beat.";4;1;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
9/21/2010;4sIRV-M-nrhyU5wHJSznrA;y5ptsWmvGEAftOQaiFhBcg;"I can't imagine paying full price to stay here. We got a deal from a travel site, which made it worthwhile because the location is terrific. The photos on yelp seem to be professionally lit, and very misleading. If I had paid full price, I would have been pissed. But, if you're the sort of person who can deal with a youth hostel, then you'll love it here! The lobby is clean and inviting, but the charm disappears after that. Our room was small, dingey, with blistering walls, painted on crown molding, and worn drapes. No refrigerator or anything, so don't bring home any leftovers. But, on the bright site, the bed and sheets were very clean. The mattress seemed quite new--I'm a mattress inspector the instant I walk into any hotel room. The shower had AWESOME water pressure and got quite hot quite fast, and the AC could pump a lot of cold air in fast. I imagine this place was quite the jewel like 30 years ago. We did bring some leftovers into our room that got a little smelly (before we realized there wasn't a fridge) and my husband took the bag of food (from Frontera, so sad we couldn't keep it!!!) to the concierge and explained he wanted to throw it away. The guy gave my husband directions to the dumpster out back!!! OMG. Even a Ramada concierge would say, ""Oh, let me take that for you sir."" So, anyhow, if you're looking for a place to sleep, take a hot shower, and have zero expectations beyond a clean, safe place to sleep, this is your spot. It is withing walking distance of a LOT of awesome stuff. But PLEASE go find a deal somewhere on line!! If you're looking for romance, indulgence, pampering: run away!";2;0;0;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
6/17/2009;s3V-CRnWtlHc2goC7xIAEA;QTJCwSaCfBz3T944SOiHBQ;"For the money.. it was a great hotel. Clean, great location, comfortable and fabulous staff. I enjoy older hotels with character.. The Tremont fit the bill. Great views, There weren't an abundance of tv channels, but the picture was clear and I sure didn't travel to Chicago to stay in the room and watch tv. and would prefer not to pay higher rates so others can. I would so stay here again. I wish I could remember the desk clerks name .. she was awesome in answering questions about the area.";3;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
4/4/2012;A5WJkZECjZVwSoV8Uxciww;_h5MGqTBM8J0tuAfbEvVDg;"Great location for walking to any part of downtown Chicago you could want.  The hotel was old, but not in any way that caused any kind of problem.  The lobby was very nice; I understand it had recently been renovated.  The room and other areas were clean, the staff was friendly and helpful.  The water in the room was hot and had good pressure!  My only complaint was that the walls were a little thin, so I could hear my next door neighbor.  Luckily he seemed to be a Japanese business man who didn't do anything other than talk on the phone and watch TV, but a different neighbor could have been a different situation!  Overall, the hotel was a great value for the location, and very clean and comfortable.  I would stay there again!";4;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
7/8/2011;xnZtuSIepywIkSC1uGYzGg;s6tSJ1NQMSU59lsCPYzzwQ;"Excellent location right down the street from Michigan Ave and John Hancock building. Can't forget free wi-fi and breakfast. The hotel is old, and the elevator is a bit scary at times, but it really was a value and we would definitely stay here again.";4;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
4/4/2011;FRM7-hER5S9wMf0IzciDcg;0oA4l1ob50aIZ9x9Kxobqg;"Great location for a good price. Book it directly on their website and get the AAA price for the best deal. Hotel has that old Chicago charm. Bed was comfortable and the room was clean. Bathroom appeared to have been updated in the past few years. 32"" flat screen in the lowest cost room. (single queen) Was able to connect my laptop to it and watch videos. Could tell that the woodwork in the rooms was old, probably the original. But it was still in good condition and fit the building. They have some kind of incense/oil going in the lobby and it might be on the strong side for some people, but it didn't bother me. Continental breakfast is available at the Mike Ditkas next door for $5 a person. It isn't anything special but what's there is decent. Overall it's a very nice hotel. I dont need much for amenities above a clean room and comfy bed and this hotel fit that perfect. Free wi-fi is an excellent bonus. For the money, it was the best deal in town if you dont need 5 star accomodations. One quick note, during my stay in March 2011 the building next door was being torn down so the construction crews were working early weekday mornings. I'd expect that a new hotel is being built and would take some time once the demo is complete.";4;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
8/23/2010;0fLzbPuBnOMKzVnmxqz-1w;3KM5g9hyaR-uE92WfMU6Cw;"Another Travelzoo deal at an awesome price of $99 per night.  The Tremont is located just a few blocks off the Magnificent Mile on Chestnut, right next to Ditka's.  The lobby is narrow and have some seating in cozy groups with little candy dishes scattered around.  My first impression upon checking in was that customer service is not their high suit. More to come on this in a moment. I get my key, some maps and a reminder about the free internet and breakfast in the morning served next door at Ditkas for $5 (free with my package but I pass so I can't speak to this).  I get up to my room and open the door.  The room itself is spacious for what it is.  There's a separate sink vanity and spacious closet and roomy bathroom with shower over tub.  The plumbing hardware was a bit off and needed a serious update because they were circa 1960s (think Edward Scissorhands ).  The bed was very firm and the fitted sheets were shallow on the corners so if you were making cupcakes, they'd totally flip off (see picture).  Another sign of this hotel's age was that the window coverings were old mini blinds.  And another pet peeve for me is the linens.  These were of inferior quality with a funky Motel 6-ish comforter/quilt and not a down comforter embraced in a high TC duvet.  Yes, I have been spoiled with my Calvin Klein linens. Back to the service...  Upon departure and asking for a copy of my statement for expense reimbursement, service was of 'eh quality.  The response I got was my stay was prepaid (i.e. ""I'm not going to waste my time printing one for you"").  I then explained I needed a copy anyway for reimbursement, then silence and no eye contact (i.e. ""I'm going to ignore your request"").  So, annoyed, I then walk out but oddly get my back yelled at in a very loud tone (i.e. ""Ma'am!"" ""Ma'am!!""), 3 times, until I make it out the front door, keep in mind, there are 2 other guests in the lobby watching this unfold..  Unprofessional methinks. Hmmm.... Overall, for the price and the fact that I only had to spend 7 hours in the room, it was good enough.";2;0;1;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
8/9/2008;MGcMncJSQQ7zzE;Nybw4RhZvdexOR-XgXD4DQ;"For the love of God, whatever you do, DO NOT take room 307.  Suffice it to say that I would rather set my hair on fire than spend two minutes in that room.  Shudder!  After asking for another room, was pleased with what I got.  The decor is a bit ""Quacker Factory-ish"" ala dried floral wreath, plaid pillow shams, etc. but overall, the room was clean, the bed comfy and the housekeeper..the nicest person I have ever met in a hotel!!  The hotel is a bit older but you cannot beat the location.  Enjoy the room for what it is, a place to sleep whilst in Chicago.  Enjoy!";4;0;0;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
4/24/2011;8a8MaeJ99mi3WTUZYDYL2Q;SKgjcQz0TNg8LKqlJwxjfg;"Decent price for downtown Chicago over a weekend.  Our room contained a air system which only produces heat in the winter and cold in the summer, so if it's one of those 80 degree days in February or March, I suppose you're screwed.  Piano in the lobby needs tuning.  Lobby is adjacent (attached opening) to Mike Ditka's.  Bed excellent, TV above average, bathroom and cleanliness meet the standards.";2;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
10/3/2009;K8HSCX-GCOcF8VUsAtMSGQ;tdE3__i2otI_nL3M3sy0MQ;"Some rooms may reveal the building's age, but all was clean and working just fine. What makes this place special outside of the excellent location is the warm and helpful staff. Around the corner, the Westin's well equipped gym is at your disposal.";4;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
4/17/2011;2rAeHez1ZzyHvL1u2DIJsw;fOTzYtBF4lJTwDIMfCAeyQ;"If you want a reasonably priced, clean, non-chain downtown Chicago hotel that's close to the Gold Coast, Mag Mile, CTA, etc. and can live without trendy decor or practically any amenities, this is a good option. As others have said, the decor is outdated, but the antique-like furnishings do give this place character, and it's very clean. You can't beat location -- stores, restaurants, lakefront, etc., are all very walkable. With the exception of wi-fi and shampoo/handcream in the room, this place offered absolutely no amenities -- even the free continental breakfast they offered last time I was here is gone, and they charged me $3 to store my luggage for a couple hours after I checked out -- every other hotel I've ever been to does that for free. All in all, I wanted a reasonably priced, clean, convenient place to crash while I was in Chicago, so this was a great option, but on trips to Chicago where my company is paying or I want a little more comfort, this would not be at the top of my list.";3;0;0;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
7/17/2010;07mEVsw7wUKuUOH;Uu-qEGsSb72ngIQUF85rDQ;"I arrived at the Tremont this past weekend for one night only. I was staying in Chi Town for 2 nights but due to a convention in town this was the only hotel that had availability for the night and for $155 for the night I was more than willing to stay since I was getting rooms around the area for the rate of $350 and up! Lets just say here you are only paying for location. I ve learned that the ""older"" hotels are just NOT MY THING. The hotel lobby is pretty and leads you to believe the rooms will be the same. The staff was meh and the room, oh God the room. The room was so outdated! We had a one bedroom but for whatever reason it was two rooms combined into one (score!). For just two people it was pretty spacious and with two bathrooms and two tv sets then I guess I cant complain, but really I have to! The room smells like your grandmothers house and with the fixtures to boot! The carpet stunk, the sheets were stiff, the fixtures were old and dusty and lastly the bathrooms were old and falling apart. One of the bathrooms showers had brown water coming out of the faucet for the first 2 min! Since I only stayed a night I guess it could have been worse...thank goodness. - I also wish I can write a review about Ditkas since its downstairs but it was packed the night I wanted to eat there so I guess that says something good!";2;2;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
10/26/2009;Og0iVk;ptgFdw9WzPQx16w37XxsPQ;"I have a fondness for older hotels that are a little down on their luck, so I ignored all the moaning around (on several sites) about the Tremont being . . so . . . so . . . OLD!  Yeah, well--my wallpaper is peeling too.  I found the Tremont to be very comfortable if a little overpriced (what downtown hotel isn't?)  From my twelfth floor room I had a lovely view of the Lake--or would have if that damn Hancock Building hadn't been in the way.  The Tremont is close to all the shopping on the Magnificent Mile, the Looking Glass Theater, Water Tower Place, the Hershey Store, Bistro 110--all the jostle and jump of the Water Tower neighborhood.  Even though the Tremont is no more than a block from all the activity, Chestnut is a peaceful enough street that my room was quiet at all times.  The Tremont staff seems polite and helpful; the bathroom seemed recently updated.  The Continental Breakfast ($5.00) was only okay, but it was a sufficient jump start on Saturday morning. I was very happy with my stay at the Tremont and would recommend it to anyone except the most persnickety Felix Ungers out there.";4;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
11/23/2011;JKcDTRG0dYs23kj1NeOB5A;zyk-YPhtFZK6kkbpzEKrWw;"Well this was an interesting place.  I went to Chicago for one night with a group of friends (six of us) and we found the Inn at Lincoln Park by chance.  Managed to book a room with two beds for just around $60 after fees, with a military discount.  The hotel is really quite charming in an old boutique sort of way, but it is by no means fancy or super clean.  Our room was very cool - used to be two rooms, so it had two walk-in closets and two full bathrooms.  Since we are young and were just looking for somewhere to sleep for one night, it worked really well.  I don't think I'd go back there with my family, though. Downside: I don't think they had cleaned the comforter OR sheets in a while.  There were some interesting stains on them and the wall.  We avoided these by using our own blankets and pillows. Perk: They have free breakfast downstairs every morning.  Pretty decent.  And they didn't seem to care that six of us were staying in one room.";3;1;0;0;N;2nnXespKBBNtDQTtrumNFg
4/5/2012;6h8rBu1K3AxUiQE8biaTIg;T4LT4dPTTTVZocPhwrJboQ;"The card key never worked.  I even got an extra one from the front desk and it stopped working.   The room is big enough to stand up, turn around and thats it. big closet though, odd!  The bed felt like a combination of springs and plywood. I think I could've slept better on the floor.   The heating in the building is odd.  Its the old cast iron standing system which is controlled by a boiler int he basement.  Walking into the room it was probably upper 80's even leaving the window open didn't help much.  the knobs on the contraption didn't work.   Do not, and I repeat, DO NOT allow anyone to flush the toilet while you're in the shower.  I thought this was something of the past.  Oh wait, this place is in the past.  Well anyway, im pretty sure second degree burns will happen.  I was able to hit the shower head out of the way after the initial scalding. The location is ok, if you like a college town scenario, that college kids are screaming in the hallways between 2-4 am.   Thanks, but.... no thanks.";1;1;0;0;N;2nnXespKBBNtDQTtrumNFg
3/24/2012;4uniW9GJpi56lRUyJFU-OQ;HfypTYNqexsCBuRBQFhKTA;"I won't go into details but basically employees at this hotel enforce policies in different ways. If one tells you something is okay to do, but the next person working disagrees....it will coat you the customer for there disorganization. When I asked if they expected me to check with every employee on how and which policies they enforced, they simply said yes. That is a burden no customer should bear and no customer should pay for employee disorganization.";1;1;0;0;N;2nnXespKBBNtDQTtrumNFg
11/11/2011;lOiTynSHKn8CqW5nLG15tw;MzZ2LR4xGF5be7WNPRunCA;"I actually got a room for $60, including fees, through the Priceline ""pick your price"" promotion. I was really nervous about staying here because the reviews were so mixed. When we arrived we were relieved because the lobby is a lot nicer than the photos show. The parking was $15 but that was okay because it's expensive to park anywhere in Chicago. The staff were very friendly and quick. We were in town for a show at The Vic which was a short 15 minute walk! We felt safe in the neighborhood and there is a lot to do in the area. We stayed in a room with one double bed. Our room ended up being on the 4th floor in the stairwell (418 to be exact). It was small but it was fine for the two of us. The bathroom was very clean but the door didn't open past the toilet! It wasn't an issue for us but we thought it was a little odd. The room itself was clean except for a few hairs on our pillow cases (luckily we had brought our own). The bed was not the best bed ever but I could fall asleep fairly quickly on it. We thought the art hanging above the bed could stand to be changed and the walls need to be painted or wallpapered or something. Unfortunately there were some other guests that felt the stairwell would be a great place to fight and make noise from about 2:00 am until 6:00am. They were literally 5 feet from our room door. We heard a lot of door slamming and stomping around. I know this isn't the hotels fault but IF YOU STAY HERE REQUEST A DIFFERENT ROOM! We maybe got 3 hours of sleep. The breakfast was nothing special. The bagels were really hard but it was free so we didn't complain. The free wi-fi is very slow and won't work with any apps on a tablet/touch pad, just an internet browser because you have to ""log in"" every time you want to access something. It's not really worth using but will get the job done if you really need it. They also offer free coffee and hot tea in the lobby 24/7. We thought that was nice, especially because we were walking in the cold. Overall for the deal we got and the location it was not bad at all. We'll probably stay here again but just request a room not in the stairwell.";3;1;0;0;N;2nnXespKBBNtDQTtrumNFg
2/1/2011;7i6dnzhEqYHtVETEPf2zuw;j41YXWdLPGw0uCG_EZSAxQ;"Great location but the hotel is super old and scary... like honestly I wouldn't walk around anywhere by myself. We recently stayed at the Conrad downtown for cheaper than here. PASS";2;0;0;0;N;2nnXespKBBNtDQTtrumNFg
12/20/2011;gTYmsBFIH10oeBD-ohBWSw;JKKRQL2CLAS_e5snigaYTw;"I had a good experience here, for the most part.  The building is old, and I liked that.  It had some character.  The room was clean and comfortable, the price was right, and the people were friendly and efficient.  A great location too.  As noted by other reviewers, the room was chilly.   BUT -- I was really put off by their blatant misrepresentation about wi-fi.  The web site says: ""Complimentary high speed wireless internet access."" I have posted a picture of the sign on the building that says ""Fast Free HSIA,"" which must stand for high speed internet access.   And IT'S JUST NOT TRUE.  When I checked in, the friendly desk clerk told me, standing not ten yards from that sign, that there was ""slow"" internet for free, but ""fast"" cost $6 an hour.  She said the ""slow internet was OK for checking e-mail, but that's about it.  She was right.  VERY slow.   It's not a big deal to me whether there is a charge for internet.  But it is a HUGE deal to me that the hotel flat-out misrepresents what you get for your money.  Very offensive.";2;0;0;0;N;2nnXespKBBNtDQTtrumNFg
12/2/2005;XULzaIwBev8-o7jtqO6;BI4lPhrUpmEySIJUywjIjQ;"The great thing about this hotel is their free guest passes to the Bally's next door.  I put up some friends here (since my place can only hold maximum five comfortably) and they really enjoyed the convenience of everything and the staff was super friendly.";4;3;0;0;N;2nnXespKBBNtDQTtrumNFg
9/15/2011;oA2jKwF7LyQwpDoMNgUydg;k_EZ42JsJg6Y09-JpJqQbA;"I have stayed here many times. It is a fine place to stay however I cannot stay there anymore because THEY HAVE BEDBUGS. Don't do it. This was in January 2011. They may have fixed the problem. I don't know. ASK!";3;0;1;0;N;2nnXespKBBNtDQTtrumNFg
2/27/2007;CcSjHpfZ36Y7gs82RHLxeQ;wiD0JGjaifHO5rTF49dJlg;"i was skeptical staying at this hotel but I thought I should give it a shot... BIG.. no .. HUGE mistake.. the room was ok but the paint at the wall was peeling.. the bathroom has ""curly"" hair.. someone had used the bathroom b4 i checked in and forgot to flush.. I had to inspect the bed for bed bugs ... too expensive and definitely not worth it.. the management was very nice, accomodating and placed a wake up call for me.. nice people .. the place appeared to be nice but turned out to be a disappointment.";1;1;0;0;N;2nnXespKBBNtDQTtrumNFg
8/27/2012;vu6V5jHRaAsiOtJCAAcvbw;KIJ-b8otPlWIeOBQS3SBPA;"A good neighborhood hotel.  El stop not far.  My small room was in the fun, kitschy motor inn.  The bathroom is super-cramped.  The walls are thin, which means I could hear the conversations of my next-door neighbor (which means they could hear mine).  Yet somehow I didn't mind these negatives.  Good access to other points of Chicagoland.   Don't come here looking for luxury.  But it's clean, safe, and quirky. There is a decent amount of free parking, too.";4;0;0;0;N;SNuJYJewLhunxlhEezo15w
7/27/2012;BxSOl8XjrhX;TIlh76nA82VBpXK_XuoOBg;"I got a room for my parents in the motel section of the Carleton and I was so pleased with the rooms! They are used to Holiday Inns but I wanted them closer to me in Oak Park. The rooms were cute, very Mad-Men-60's, but adorable! They were clean and nicely sized for a motel, they had a little kitchenette and a nice clean bathroom. I told my folks that if they didn't want to stay there, I would and they could have my apartment! They were very comfortable and pleased with the location, they said next time they come to town they will surely stay there!";4;0;0;0;N;SNuJYJewLhunxlhEezo15w
4/25/2012;M9gz7lnWK5DHRXrkQamTJQ;x1uo32SAD_XMq0ulqC8_OQ;"Stayed in the ""Motor Inn"" section of the hotel.  While the appointments were nice and everything was clean there were a few issues with the room, which should be addressed by the management.   First... the walls are like cardboard.  I could hear everything my neighbors were saying, even though they were speaking at normal level.  Fixing this would require sound insulation in the walls, during your next remodel. Second... there was a constant roaring sound coming from the bathroom vent, presumably from a fan.  While the noise might not be that noticeable during the day, at night when everything is quiet, it becomes very noticeable and very annoying.  Just get a new, quieter fan.  I've read other reviews that complained about this as well. Third... get firmer mattresses.  The mattress was a very cheap, weak mattress.  The kind that squishes down to about 30% of its initial height. This makes for a very uncomfortable night sleep and a sore back the next day. With the above changes, this hotel could go from being second rate, to a real first class establishment.";2;0;0;0;N;SNuJYJewLhunxlhEezo15w
5/27/2009;XR97tT4JQZqW4gBMCfMDGg;OEIIgrgvjaXN9ov08kHeUA;"Deciding to have my wedding at the Carleton was one of the first decisions I made after getting engaged, and it turned out to be one of the best decisions I made over a year and a half of planning! We held our ceremony and reception at the hotel, since we had a decent number of out-of-town guests and I didn't want them to have to deal with driving.  (And how awesome is it to be able to party all night and then just be a short elevator ride away from your room?)  I know I'm a little bit biased, but my wedding was BEAUTIFUL.  Everything turned out better than I ever could have hoped for.  My vision for my wedding day was executed exactly; how many brides can say that? Annie Mammoser is the wedding coordinator at the hotel, and whatever they're paying her, I'm sure it's not enough, because she is amazing.  Anything I wanted or needed, she was on it.  She made sure all the little details were seen to........ I did not spend a single second worrying about anything on my wedding day.  Even everything leading up to that (the tasting, meeting with linen rental vendor, multiple walk-throughs with my florist) was stress-free. The space is really beautiful (love the chandelier and the bar area), and it's nice to have it all to yourself (rather than being one of several weddings at a larger hotel or banquet hall).  We took some beautiful pictures in front of the Marion Street entrance, and all the extra seating area made for a really fabulous cocktail hour.  (The only thing I'm kind of bummed out about now is that I didn't get to have any of the awesome hors d'oeuvres we selected since I was so busy taking pictures and saying hi to everyone.) As far as cost goes - totally a bargain!  102 people for dinner, copious amounts of alcohol and hours of dancing cost us less than $10,000.  Try doing that in downtown Chicago.  (Not to mention the two complimentary nights in a suite that we were given.  The room was amazing, and it was really nice to be comped like that.) I've now been married for a month, and my friends and family are still talking about the food (really, really delicious!), the candy buffet (set up by Annie, perfectly!), and how much fun they had (possibly due to 5 hours of open bar).  A perfect setting for one of the best days of my life (so far).";5;1;0;1;N;SNuJYJewLhunxlhEezo15w
10/21/2010;apnMr1fnYCUxF;UWT8_eEQVLsFaQfqUmX-Mw;"I actually live real close to the Carleton but recently had a one night's stay the day before my wedding. I was lucky to stay in the hotel (instead of the motel section) which had a HUGE whirlpool tube. I would recommend staying at this hotel just to enjoy it. The staff was extremely helpful when my makeup artist needed a special chair to do makeup and they also were nice enough to let me stay a little after check out time. When I was in a rush at the last minute to leave, they checked me out without me having to wait. Thank you so much! The only down side: I left my bridal gown bag at the hotel (in fact I saw it but was in a rush to leave but didn't have time to go back). I called later that night but the maid service claimed nothing was found. The bag was pretty expensive, but I know it's my fault. My only recommendation is don't leave anything behind by accident.";4;1;0;0;N;SNuJYJewLhunxlhEezo15w
9/28/2007;e5ehT1dsBMEzchf0-HvOrg;L4CXCKMj2NDsr8fd2_XmkA;"I worked at a wedding at the Carleton last week.  It is a gorgeous petite boutique hotel in downtown Oak Park.  The ballroom is perfect for a wedding between 100-150 guests.   For the cocktail hour, the hotel used a small banquet room as well as a bar with two small rooms right off of it.  The only thing that I disliked is that some guests were walking through the cocktail hour to get to their rooms on that side of the hotel.";4;0;0;0;N;SNuJYJewLhunxlhEezo15w
